2025-03-06 17:46:42, ac: 206, Δaccepts: 103, Δhandled: 103, Δrequests: 1568, reading: 0, writing: 1, waiting: 205
2025-03-06 17:46:51, ac: 304, Δaccepts: 99, Δhandled: 99, Δrequests: 2546, reading: 0, writing: 1, waiting: 303
2025-03-06 17:47:01, ac: 406, Δaccepts: 103, Δhandled: 103, Δrequests: 3565, reading: 0, writing: 1, waiting: 405
2025-03-06 17:47:11, ac: 502, Δaccepts: 97, Δhandled: 97, Δrequests: 4589, reading: 0, writing: 1, waiting: 501
2025-03-06 17:47:20, ac: 3, Δaccepts: 3, Δhandled: 3, Δrequests: 367, reading: 0, writing: 1, waiting: 2
2025-03-06 17:47:30, ac: 3, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 2
2025-03-06 17:47:40, ac: 3, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 2
2025-03-06 17:47:49, ac: 3, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 2
2025-03-06 17:47:59, ac: 3, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 2
2025-03-06 17:48:09, ac: 3, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 2
2025-03-06 17:48:19, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:48:28, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:48:38, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:48:48, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:48:57, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:49:07, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:49:17, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:49:26, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:49:36, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:49:46, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:49:55, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:50:05, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:50:15, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:50:24, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
2025-03-06 17:50:34, ac: 2, Δaccepts: 1, Δhandled: 1, Δrequests: 1, reading: 0, writing: 1, waiting: 1
