DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-04 05:53:18,10,10,0,1951.9,137.003,5,45.7,228.5,0,0,6.7,17.6
2025-03-04 05:53:20,19,10,0,1998.8,131.57,5,45.9,229.5,0,0,0.4,2.5
2025-03-04 05:53:22,20,19,0,2036.632,129.571,9.5,46,437,0,0,0.579,2.526
2025-03-04 05:53:24,20,20,0,1982.35,113.331,10,45.8,458,0,0,0.6,3.05
2025-03-04 05:53:26,30,19,0,1995.526,129.671,9.5,45.632,433.5,0,0,1,2.947
2025-03-04 05:53:28,30,30,0,2019.1,99.123,15,45.333,680,0,0,0.533,2.167
2025-03-04 05:53:30,34,31,0,2027.806,108.357,15.5,45.839,710.5,0,0,0.71,2.774
2025-03-04 05:53:32,40,39,0,2008.513,111.679,19.5,45.692,891,0,0,0.385,2.179
2025-03-04 05:53:34,42,56,0,2004.696,121.523,28,45.857,1284,0,0,0.625,2.643
2025-03-04 05:53:36,50,47,0,1975.043,112.65,23.5,45.723,1074.5,0,0,0.66,2.851
2025-03-04 05:53:38,50,53,0,2010.83,124.73,26.5,45.717,1211.5,0,0,0.434,2.245
2025-03-04 05:53:40,60,49,0,2028.082,97.837,24.5,45.694,1119.5,0,0,0.51,2.204
2025-03-04 05:53:42,60,60,0,1986.3,123.981,30,45.717,1371.5,0,0,0.517,2.25
2025-03-04 05:53:44,61,58,0,2004.793,129.127,29,45.759,1327,0,0,0.448,2.224
2025-03-04 05:53:46,70,67,0,1997.373,120.541,33.5,45.806,1534.5,0,0,0.552,2.313
2025-03-04 05:53:48,70,68,0,2045.897,138.705,34,45.382,1543,0,0,0.426,2.132
2025-03-04 05:53:50,80,70,0,1992.471,125.698,35,45.386,1588.5,0,0,0.486,2.214
2025-03-04 05:53:52,80,80,0,1997.1,127.288,40,45.513,1820.5,0,0,0.487,2.388
2025-03-04 05:53:54,81,82,0,1985.329,127.737,41,45.5,1865.5,0,0,0.402,2.073
2025-03-04 05:53:56,90,90,0,1985.833,128.729,45,45.422,2044,0,0,0.378,1.933
2025-03-04 05:53:58,90,90,0,1991.778,133.941,45,45.589,2051.5,0,0,0.356,2.044
