DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-04 06:02:06,10,10,0,1992.7,98.77,5,44.8,224,0,0,11.1,27.1
2025-03-04 06:02:08,13,10,0,1996.8,137.523,5,45,225,0,0,1.7,7.1
2025-03-04 06:02:10,20,18,0,2012.944,132.107,9,44.889,404,0,0,0.667,6.056
2025-03-04 06:02:12,20,32,0,1963.531,130.068,16,44.531,712.5,0,0,0.844,4.75
2025-03-04 06:02:14,30,33,0,1996.758,119.482,16.5,44.818,739.5,0,0,0.576,4.091
2025-03-04 06:02:16,30,29,0,2030.483,120.639,14.5,45,652.5,0,0,0.448,4.103
2025-03-04 06:02:18,40,33,0,2011.333,133.087,16.5,44.818,739.5,0,0,0.455,3.879
2025-03-04 06:02:20,40,39,0,2002.051,124.585,19.5,45.179,881,0,0,0.641,3.897
2025-03-04 06:02:22,50,38,0,1980.289,137.208,19,44.684,849,0,0,0.579,4.684
2025-03-04 06:02:24,50,53,0,2034.208,140.781,26.5,45.075,1194.5,0,0,0.66,4.585
2025-03-04 06:02:26,50,49,0,1982.245,136.527,24.5,44.857,1099,0,0,0.429,3.714
2025-03-04 06:02:28,60,53,0,1996.283,147.454,26.5,45.038,1193.5,0,0,0.604,3.792
2025-03-04 06:02:30,60,61,0,2015.754,128.307,30.5,45.082,1375,0,0,0.574,4.131
2025-03-04 06:02:32,69,59,0,2013.949,115.302,29.5,44.966,1326.5,0,0,0.339,3.763
2025-03-04 06:02:34,70,71,0,1984.113,155.287,35.5,44.887,1593.5,0,0,0.493,3.901
2025-03-04 06:02:36,70,68,0,2027.838,113.087,34,44.882,1526,0,0,0.397,3.647
2025-03-04 06:02:38,80,76,0,1991.605,140.739,38,44.803,1702.5,0,0,0.447,3.697
2025-03-04 06:02:40,80,79,0,2013.177,118.156,39.5,45.051,1779.5,0,0,0.43,3.924
2025-03-04 06:02:42,89,79,0,2007.633,132.787,39.5,44.772,1768.5,0,0,0.443,3.759
2025-03-04 06:02:44,90,116,0,2003.853,142.264,58,44.966,2608,0,0,0.388,3.526
2025-03-04 06:02:46,95,89,0,2016.202,130.677,44.5,44.876,1997,0,0,0.326,3.393
2025-03-04 06:02:48,100,98,0,2003.765,131.771,49,45.204,2215,0,0,0.418,3.51
2025-03-04 06:02:50,100,99,0,2001.172,125.512,49.5,45.141,2234.5,0,0,0.414,3.586
2025-03-04 06:02:52,110,103,0,1994.175,116.23,51.5,45.078,2321.5,0,0,0.417,3.728
2025-03-04 06:02:54,110,108,0,2005.917,143.466,54,44.889,2424,0,0,0.352,3.509
2025-03-04 06:02:56,117,107,0,1984.925,144.865,53.5,44.981,2406.5,0,0,0.327,3.458
2025-03-04 06:02:58,120,123,0,1999.325,143.846,61.5,44.984,2766.5,0,0,0.423,3.374
